"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 27-Feb-2025","1W AGO 
 21-Feb-2025","1M AGO 
 29-Jan-2025","1Y AGO 
 29-Feb-2024","52W H 
","52W L 
","365 D % CHNG 
 29-Feb-2024","30 D % CHNG 
 29-Jan-2025"
"NIFTY HEALTHCARE INDEX","12,685.50","-2.21","12,978.75","12,978.75","12,650.35","-","12,971.65","12,971.65","13,117.40","13,588.55","11,950.95","15,108.80","7,249.70","6.15","-6.65"
"NIFTY CONSUMER DURABLES","34,458.85","-2.38","35,017.00","35,106.80","34,192.00","-","35,300.45","35,300.45","35,489.90","37,383.35","32,046.90","44,426.55","21,967.45","7.53","-7.82"
"NIFTY OIL & GAS","9,590.60","-2.22","9,770.05","9,774.55","9,567.40","-","9,808.45","9,808.45","10,074.20","10,235.05","11,457.50","13,607.20","6,645.90","-16.29","-6.30"
"NIFTY MIDSMALL HEALTHCARE","37,115.50","-1.84","37,601.50","37,603.70","36,814.90","-","37,811.25","37,811.25","38,119.50","39,545.55","-","45,285.50","20,019.15","-","-6.14"
"NIFTY FINANCIAL SERVICES EX-BANK","24,291.95","-2.95","24,878.75","24,879.20","24,207.65","-","25,030.60","25,030.60","25,244.10","24,888.90","22,569.56","28,262.35","21,702.40","7.63","-2.40"
"NIFTY MIDSMALL FINANCIAL SERVICES","13,821.80","-2.90","14,136.20","14,136.20","13,713.50","-","14,234.70","14,234.70","14,623.10","14,979.85","13,311.68","16,743.90","12,407.95","3.83","-7.73"
"NIFTY MIDSMALL IT & TELECOM","8,780.80","-3.72","9,013.35","9,035.80","8,696.15","-","9,120.15","9,120.15","9,473.40","10,377.85","10,273.06","11,723.20","8,696.15","-14.53","-15.39"
"NIFTY DIVIDEND OPPORTUNITIES 50","5,496.20","-2.89","5,628.45","5,629.95","5,475.05","-","5,659.65","5,659.65","5,819.35","6,021.20","5,766.05","7,012.65","5,475.05","-4.68","-8.72"
"NIFTY GROWTH SECTORS 15","10,563.80","-3.61","10,904.20","10,905.80","10,544.10","-","10,959.75","10,959.75","11,103.35","11,656.75","11,154.70","13,065.05","10,168.35","-5.30","-9.38"
"NIFTY100 QUALITY 30","4,986.95","-2.70","5,100.65","5,103.35","4,982.40","-","5,125.45","5,125.45","5,220.75","5,394.85","5,088.90","-","-","-2.00","-7.56"
"NIFTY50 VALUE 20","11,966.00","-2.64","12,233.60","12,239.35","11,948.95","-","12,290.15","12,290.15","12,595.65","13,066.70","12,284.55","14,731.65","11,543.45","-2.59","-8.42"
